rank,empire_name,influence_score,lifespan_rank,historical_rank
701,Scientific Aurelan Union,18.0,701,701
702,Scientific Valian Union,18.0,702,702
703,Galactican Directorate,18.0,703,703
704,The Thranite Federation,18.0,704,704
705,Unified Thranis Council,18.0,705,705
706,Scientific Gaea-is Union,18.0,706,706
707,Consolidated Xenari Worlds,18.0,707,707
708,Thranan Directorate,18.0,708,708
709,Unified Vesperari Council,16.0,709,709
710,Unified Zelari Council,16.0,710,710
711,Scientific Vesperoid Union,16.0,711,711
712,Consolidated Solex Worlds,16.0,712,712
713,The Xi-sagittariis Federation,16.0,713,713
714,Unified Mu-perseis Council,16.0,714,714
715,Beta-bulgis Commonwealth,16.0,715,715
716,Vesperan Directorate,16.0,716,716
717,Orionite Commonwealth,16.0,717,717
718,The Aurelex Federation,16.0,718,718
719,"f8c1278b86,4836a15586",15.0,719,719
720,"9594053f90,22b55b78e2",15.0,720,720
721,Orionian-Great Defense Pact,15.0,721,721
722,"c4f121b6c1,7036dbff3e",15.0,722,722
723,Orionian-Consolidated Defense Pact,15.0,723,723
724,"c4f121b6c1,c98968025a",15.0,724,724
725,The Scientific-Valis Scientific Alliance,15.0,725,725
726,"26b5626b6c,8a41c4ac34",15.0,726,726
727,"26b5626b6c,15286fa1f5",15.0,727,727
728,The Valis-Great Scientific Alliance,15.0,728,728
729,"8a41c4ac34,15286fa1f5",15.0,729,729
730,"2f0954acad,c7c9fca9a1",15.0,730,730
731,"2f0954acad,9cad00795f",15.0,731,731
732,"2f0954acad,35b25d7eaf",15.0,732,732
733,"c7c9fca9a1,9cad00795f",15.0,733,733
734,"c7c9fca9a1,155f4eead5",15.0,734,734
735,"95cba99a70,73cb158d41",15.0,735,735
736,"95cba99a70,7419a59432",15.0,736,736
737,"95cba99a70,3be9d94e07",15.0,737,737
738,"73cb158d41,7419a59432",15.0,738,738
739,"73cb158d41,bb1351012f",15.0,739,739
740,"73cb158d41,3be9d94e07",15.0,740,740
741,"7419a59432,3be9d94e07",15.0,741,741
742,"033668785c,f8a4edc83b",15.0,742,742
743,"033668785c,d2748466c9",15.0,743,743
744,"f8a4edc83b,d2748466c9",15.0,744,744
745,"23979e6a05,b6e89e8b4d",15.0,745,745
746,"23979e6a05,03fca7f787",15.0,746,746
747,"23979e6a05,939c53fc68",15.0,747,747
748,"b6e89e8b4d,58a2b00e32",15.0,748,748
749,"5db2756626,37df7ce9be",15.0,749,749
750,"5db2756626,52d6d92e6b",15.0,750,750
751,"5db2756626,ea27a17ca6",15.0,751,751
752,"37df7ce9be,63fff6610a",15.0,752,752
753,"37df7ce9be,52d6d92e6b",15.0,753,753
754,"37df7ce9be,ea27a17ca6",15.0,754,754
755,"63fff6610a,52d6d92e6b",15.0,755,755
756,"63fff6610a,ea27a17ca6",15.0,756,756
757,Zylarex-Great Defense Pact,15.0,757,757
758,"962632e3ac,0bfb7074dd",15.0,758,758
759,Zylarex-Scientific Defense Pact,15.0,759,759
760,"962632e3ac,626215ebea",15.0,760,760
761,The Zylarex-Great Scientific Alliance,15.0,761,761
762,"962632e3ac,d8145cd1f0",15.0,762,762
763,"0bfb7074dd,626215ebea",15.0,763,763
764,"626215ebea,d8145cd1f0",15.0,764,764
765,"7315025cfd,d853839dba",15.0,765,765
766,"c56a0b9792,2173a01d64",15.0,766,766
767,"35390a1939,6d4e0abb77",15.0,767,767
768,"494354518b,a425d5c923",15.0,768,768
769,"9cad00795f,155f4eead5",15.0,769,769
770,The Great-Aethelgardan Scientific Alliance,15.0,770,770
771,"9cad00795f,4e674c46b8",15.0,771,771
772,"155f4eead5,35b25d7eaf",15.0,772,772
773,Consolidated-Aethelgardan Defense Pact,15.0,773,773
774,"155f4eead5,4e674c46b8",15.0,774,774
775,"e4a60e62b6,80be4440e8",15.0,775,775
776,Consolidated-Thranis Defense Pact,15.0,776,776
777,"e4a60e62b6,c7a93adf27",15.0,777,777
778,Great-Xenan Defense Pact,15.0,778,778
779,"24423298c0,95985a8620",15.0,779,779
780,Great-Kaelumis Defense Pact,15.0,780,780
781,"24423298c0,80be4440e8",15.0,781,781
782,The Great-Thranis Scientific Alliance,15.0,782,782
783,"24423298c0,c7a93adf27",15.0,783,783
784,The Xenan-Kaelumis Scientific Alliance,15.0,784,784
785,"95985a8620,80be4440e8",15.0,785,785
786,The Xenan-Thranis Scientific Alliance,15.0,786,786
787,"95985a8620,c7a93adf27",15.0,787,787
788,The Kaelumis-Allied Scientific Alliance,15.0,788,788
789,"80be4440e8,df2217070a",15.0,789,789
790,The Thranis-Allied Scientific Alliance,15.0,790,790
791,"c7a93adf27,df2217070a",15.0,791,791
792,"c64460376e,53e4b98264",15.0,792,792
793,"53e4b98264,14c594f145",15.0,793,793
794,"abb26e55dc,d401178af2",15.0,794,794
795,"075b3fb3b1,d401178af2",15.0,795,795
796,"3c983bfdab,db90f4ff25",15.0,796,796
797,"db90f4ff25,cfec2df928",15.0,797,797
798,"30e300e760,65ea513ebb",15.0,798,798
799,The Consolidated-Sagittariite Scientific Alliance,15.0,799,799
800,"65ea513ebb,7bf42c3a49",15.0,800,800
801,"6fbfc2a11d,81601b2e5e",15.0,801,801
802,"6fbfc2a11d,72196fa906",15.0,802,802
803,"bceea7e00e,72196fa906",15.0,803,803
804,"bceea7e00e,98fbfa35fa",15.0,804,804
805,"9875fc03a4,81601b2e5e",15.0,805,805
806,"9875fc03a4,72196fa906",15.0,806,806
807,"9875fc03a4,98fbfa35fa",15.0,807,807
808,Unified-Sigma-orionis Defense Pact,15.0,808,808
809,"81601b2e5e,72196fa906",15.0,809,809
810,"81601b2e5e,98fbfa35fa",15.0,810,810
811,Sigma-orionis-Sigma-orionis Defense Pact,15.0,811,811
812,"72196fa906,98fbfa35fa",15.0,812,812
813,"e3ba98a843,50f9748c73",15.0,813,813
814,The Cygnian-Gamma-cygnis Scientific Alliance,15.0,814,814
815,"3e1c9fe27e,cb16d2a5bc",15.0,815,815
816,Cygnian-Great Defense Pact,15.0,816,816
817,"3e1c9fe27e,340e3912e2",15.0,817,817
818,Gamma-cygnis-Great Defense Pact,15.0,818,818
819,"cb16d2a5bc,340e3912e2",15.0,819,819
820,The Solian-Scientific Scientific Alliance,15.0,820,820
821,"415811daec,53dc64803e",15.0,821,821
822,The Allied-Great Scientific Alliance,15.0,822,822
823,"947f74a852,7df05aba52",15.0,823,823
824,"e23dc5e375,6edc6616b2",15.0,824,824
825,"e23dc5e375,82b29167c3",15.0,825,825
826,"77811a2fa9,a067552faf",15.0,826,826
827,"77811a2fa9,c6642b2284",15.0,827,827
828,"4a9574c523,6957a14d13",15.0,828,828
829,Merex-Consolidated Defense Pact,15.0,829,829
830,"e99c95009e,6957a14d13",15.0,830,830
831,The Great-Perseian Scientific Alliance,15.0,831,831
832,"2a34070c99,d2f4557294",15.0,832,832
833,"2a34070c99,3b106fa102",15.0,833,833
834,Great-Allied Defense Pact,15.0,834,834
835,"2a34070c99,cb6235e194",15.0,835,835
836,"4c67325ea2,8eadd942b0",15.0,836,836
837,Unified-Perseian Defense Pact,15.0,837,837
838,"4c67325ea2,d2f4557294",15.0,838,838
839,"4c67325ea2,3b106fa102",15.0,839,839
840,"4c67325ea2,cb6235e194",15.0,840,840
841,"8eadd942b0,cb6235e194",15.0,841,841
842,The Perseian-Unified Scientific Alliance,15.0,842,842
843,"d2f4557294,3b106fa102",15.0,843,843
844,The Perseian-Allied Scientific Alliance,15.0,844,844
845,"d2f4557294,cb6235e194",15.0,845,845
846,The Solari-Unified Scientific Alliance,15.0,846,846
847,"5f5ebcf2f5,5578b4053f",15.0,847,847
848,"095464621d,22e010a52d",15.0,848,848
849,The Great-Sagittarian Scientific Alliance,15.0,849,849
850,"cf1fb521d7,0895acc0af",15.0,850,850
851,Great-Gamma-sagittariis Defense Pact,15.0,851,851
852,"cf1fb521d7,cd650c58ff",15.0,852,852
853,"cf1fb521d7,208f64f5f9",15.0,853,853
854,The Sagittarian-Scientific Scientific Alliance,15.0,854,854
855,"0895acc0af,208f64f5f9",15.0,855,855
856,Gamma-sagittariis-Scientific Defense Pact,15.0,856,856
857,"cd650c58ff,208f64f5f9",15.0,857,857
858,"ad899b1ed9,2b4452e77b",15.0,858,858
859,The Meroid-Consolidated Scientific Alliance,15.0,859,859
860,"b53d4251d2,2b4452e77b",15.0,860,860
861,The Unified-Bulgite Scientific Alliance,15.0,861,861
862,"7994a1ada7,2b100070c5",15.0,862,862
863,"a222a74ae8,c235dc422c",15.0,863,863
864,"a222a74ae8,9dbca7c528",15.0,864,864
865,"c235dc422c,9dbca7c528",15.0,865,865
866,"f0cb6b0a91,609e70586f",15.0,866,866
867,Great-Zelis Defense Pact,15.0,867,867
868,"f0cb6b0a91,a866d8dcfc",15.0,868,868
869,Scientific-Zelis Defense Pact,15.0,869,869
870,"609e70586f,a866d8dcfc",15.0,870,870
871,"609e70586f,26a6b7dcc3",15.0,871,871
872,"7be35390be,87f864fe83",15.0,872,872
873,"7be35390be,3ba7df6ae1",15.0,873,873
874,"7be35390be,edb45b6eec",15.0,874,874
875,"87f864fe83,edb45b6eec",15.0,875,875
876,"3ba7df6ae1,edb45b6eec",15.0,876,876
877,"fe5ce1f2b8,a31575c86a",15.0,877,877
878,"f0ada7121c,6eb9b1daf2",15.0,878,878
879,"f0ada7121c,07a0027478",15.0,879,879
880,"6eb9b1daf2,07a0027478",15.0,880,880
881,"8bd71d17f7,7f4ec7825c",15.0,881,881
882,"7f4ec7825c,a1d0ea467a",15.0,882,882
883,The Zylaran-Xenan Scientific Alliance,15.0,883,883
884,"71d820677a,3339448f7c",15.0,884,884
885,Consolidated-Xenan Defense Pact,15.0,885,885
886,"6d2f3e5ed1,3339448f7c",15.0,886,886
887,Unified Federation of Scientific and Consolidated,15.0,887,887
888,"be3191b575,63f01adf18",15.0,888,888
889,"b75dce1421,9568bafb15",15.0,889,889
890,"b75dce1421,47e406daef",15.0,890,890
891,"b75dce1421,ad47c2dda3",15.0,891,891
892,"b75dce1421,dffeed89fb",15.0,892,892
893,"b75dce1421,cd3cb2af45",15.0,893,893
894,"4c8e6a8540,9568bafb15",15.0,894,894
895,"4c8e6a8540,47e406daef",15.0,895,895
896,"517cb43ce0,d378f96d17",15.0,896,896
897,Great-Orionian Defense Pact,15.0,897,897
898,"d378f96d17,7664b6b371",15.0,898,898
899,The Orionian-Great Scientific Alliance,15.0,899,899
900,"7664b6b371,739bb87006",15.0,900,900
901,"bda6417e80,56cd534bb7",15.0,901,901
902,The Great-Persean Scientific Alliance,15.0,902,902
903,"bda6417e80,c6e77e6789",15.0,903,903
904,The Consolidated-Persean Scientific Alliance,15.0,904,904
905,"56cd534bb7,c6e77e6789",15.0,905,905
906,The Consolidated-Perseite Scientific Alliance,15.0,906,906
907,"56cd534bb7,ac4afd4a27",15.0,907,907
908,Persean-Perseite Defense Pact,15.0,908,908
909,"c6e77e6789,ac4afd4a27",15.0,909,909
910,"778b8b68c3,c5213edcba",15.0,910,910
911,"d957806d32,fcda05fc4e",15.0,911,911
912,"d957806d32,2320e9a617",15.0,912,912
913,Galactician-Great Defense Pact,15.0,913,913
914,"d957806d32,75a58165a0",15.0,914,914
915,"fcda05fc4e,75a58165a0",15.0,915,915
916,"2320e9a617,75a58165a0",15.0,916,916
917,"d5f12251b2,b4221d6e15",15.0,917,917
918,"d5f12251b2,b3ddaf54de",15.0,918,918
919,"d5f12251b2,02e103d2b6",15.0,919,919
920,"b4221d6e15,02e103d2b6",15.0,920,920
921,"b3ddaf54de,fa8159dac5",15.0,921,921
922,"b3ddaf54de,02e103d2b6",15.0,922,922
923,"b0eb206a08,529174abfd",15.0,923,923
924,"529174abfd,658cf93cc4",15.0,924,924
925,The Great-Aurelari Scientific Alliance,15.0,925,925
926,"094756ff65,e07661a882",15.0,926,926
927,Orionite-Scientific Defense Pact,15.0,927,927
928,"6c40e5c997,4df0d9ee3b",15.0,928,928
929,"ce97697488,4df0d9ee3b",15.0,929,929
930,"b8c054770f,37270686ec",15.0,930,930
931,"b8c054770f,b9be6a525a",15.0,931,931
932,Unified-Zylarex Defense Pact,15.0,932,932
933,"0e67dd57aa,88977397af",15.0,933,933
934,The Zylarex-Scientific Scientific Alliance,15.0,934,934
935,"88977397af,84a3d643c9",15.0,935,935
936,"19190c022d,cadd62d564",15.0,936,936
937,The Aurelian-Scientific Scientific Alliance,15.0,937,937
938,"2b478a564d,999c5041c4",15.0,938,938
939,Aurelian-Consolidated Defense Pact,15.0,939,939
940,"2b478a564d,06f00def5a",15.0,940,940
941,"999c5041c4,06f00def5a",15.0,941,941
942,The Solari-Great Scientific Alliance,15.0,942,942
943,"61397f1d85,ca40b2e629",15.0,943,943
944,Great-Vesperian Defense Pact,15.0,944,944
945,"ca40b2e629,80d9c3cc28",15.0,945,945
946,The Consolidated-Bulgian Scientific Alliance,15.0,946,946
947,"9568bafb15,47e406daef",15.0,947,947
948,"9568bafb15,ad47c2dda3",15.0,948,948
949,"9568bafb15,dffeed89fb",15.0,949,949
950,"9568bafb15,cd3cb2af45",15.0,950,950
951,The Bulgian-Consolidated Scientific Alliance,15.0,951,951
952,"47e406daef,dffeed89fb",15.0,952,952
953,Bulgian-Consolidated Defense Pact,15.0,953,953
954,"47e406daef,cd3cb2af45",15.0,954,954
955,"ad47c2dda3,dffeed89fb",15.0,955,955
956,"0b6029ea29,5a9f1f61c7",15.0,956,956
957,The Orionan-Scientific Scientific Alliance,15.0,957,957
958,"0ed21e60e5,5a9f1f61c7",15.0,958,958
959,Orionan-Great Defense Pact,15.0,959,959
960,"0ed21e60e5,02fd90e690",15.0,960,960
961,The Allied-Consolidated Scientific Alliance,15.0,961,961
962,"3557fb1c6f,61550040fc",15.0,962,962
963,"3557fb1c6f,f0fcb8f048",15.0,963,963
964,Allied-Zelian Defense Pact,15.0,964,964
965,"3557fb1c6f,691ec52085",15.0,965,965
966,"61550040fc,f0fcb8f048",15.0,966,966
967,The Aureloid-Consolidated Scientific Alliance,15.0,967,967
968,"33e625a829,b91403ddc4",15.0,968,968
969,"58a2b00e32,03fca7f787",15.0,969,969
970,"58a2b00e32,939c53fc68",15.0,970,970
971,"03fca7f787,939c53fc68",15.0,971,971
972,The Cygnan-Cygnan Scientific Alliance,15.0,972,972
973,"dc652af4e1,98e5a44c50",15.0,973,973
974,The Cygnan-Great Scientific Alliance,15.0,974,974
975,"dc652af4e1,e1017ed35e",15.0,975,975
976,"dc652af4e1,ee6f8a466e",15.0,976,976
977,Cygnan-Great Defense Pact,15.0,977,977
978,"98e5a44c50,e1017ed35e",15.0,978,978
979,"98e5a44c50,ee6f8a466e",15.0,979,979
980,Omega-bulgis-Unified Defense Pact,15.0,980,980
981,"ed8eb43829,2d7a6c7193",15.0,981,981
982,Omega-bulgis-Great Defense Pact,15.0,982,982
983,"ed8eb43829,c4d87c45ee",15.0,983,983
984,The Omega-bulgis-Unified Scientific Alliance,15.0,984,984
985,"ed8eb43829,62a7129a59",15.0,985,985
986,The Omega-bulgis-Consolidated Scientific Alliance,15.0,986,986
987,"ed8eb43829,28100766c8",15.0,987,987
988,"2d7a6c7193,c4d87c45ee",15.0,988,988
989,"2d7a6c7193,62a7129a59",15.0,989,989
990,The Unified-Consolidated Scientific Alliance,15.0,990,990
991,"2d7a6c7193,28100766c8",15.0,991,991
992,"1e3994853e,b28f9ec7d4",15.0,992,992
993,"1e3994853e,75912c8e4c",15.0,993,993
994,"b28f9ec7d4,634ad45f7e",15.0,994,994
995,"634ad45f7e,75912c8e4c",15.0,995,995
996,"9d449a31b9,a4eac32597",15.0,996,996
997,"9d449a31b9,f94aaeed85",15.0,997,997
998,Great-Thranari Defense Pact,15.0,998,998
999,"afc6771a1e,55c2a4dc5e",15.0,999,999
1000,"afc6771a1e,3779c3fe76",15.0,1000,1000
1001,The Thranari-Unified Scientific Alliance,15.0,1001,1001
1002,"55c2a4dc5e,3779c3fe76",15.0,1002,1002
1003,Thranari-Scientific Defense Pact,15.0,1003,1003
1004,"55c2a4dc5e,cd01ef6fd0",15.0,1004,1004
1005,"3779c3fe76,cd01ef6fd0",15.0,1005,1005
1006,"63803c4eb1,20dcee6871",15.0,1006,1006
1007,"da38a63176,8196db66b3",15.0,1007,1007
1008,Great-Orionite Defense Pact,15.0,1008,1008
1009,"db6da7e17a,73573955bb",15.0,1009,1009
1010,Unified Federation of Great and Bulgian,15.0,1010,1010
1011,"f2bbbfc167,f929aa33ac",15.0,1011,1011
1012,"28d83c4b42,0ddd78edbb",15.0,1012,1012
1013,The Thranan-Great Scientific Alliance,15.0,1013,1013
1014,"d7ec4d3018,adc1c77061",15.0,1014,1014
1015,The Orionite-Consolidated Scientific Alliance,15.0,1015,1015
1016,"931aa9655e,df2f64c1a1",15.0,1016,1016
1017,"931aa9655e,f27ca4fefa",15.0,1017,1017
1018,"df2f64c1a1,f27ca4fefa",15.0,1018,1018
1019,"4164b650a3,340ef3ab81",15.0,1019,1019
1020,"785ce4730c,7135e43d15",15.0,1020,1020
1021,Consolidated-Orionite Defense Pact,15.0,1021,1021
1022,"7135e43d15,dbf06f7273",15.0,1022,1022
1023,"7135e43d15,8f64eb0a84",15.0,1023,1023
1024,"dbf06f7273,8f64eb0a84",15.0,1024,1024
1025,"111ab1a74e,762d1b3438",15.0,1025,1025
1026,The Great-Vesperite Scientific Alliance,15.0,1026,1026
1027,"41e5776038,11c4291fc3",15.0,1027,1027
1028,"41e5776038,c8c30fa0a1",15.0,1028,1028
1029,"41e5776038,41a9345e47",15.0,1029,1029
1030,The Vesperite-Great Scientific Alliance,15.0,1030,1030
1031,"11c4291fc3,c8c30fa0a1",15.0,1031,1031
1032,"6edc6616b2,82b29167c3",15.0,1032,1032
1033,"1a2a63b5eb,9eeb4737e9",15.0,1033,1033
1034,Solex-Great Defense Pact,15.0,1034,1034
1035,"8e17c1b492,35e0e185b7",15.0,1035,1035
1036,"15c488fdb9,52be76d999",15.0,1036,1036
1037,The Allied-Scientific Scientific Alliance,15.0,1037,1037
1038,"2d148d0e47,a4eac32597",15.0,1038,1038
1039,The Consolidated-Perseian Scientific Alliance,15.0,1039,1039
1040,"a9283be55d,27d9c8dc46",15.0,1040,1040
1041,"a9283be55d,2c89a9e0dc",15.0,1041,1041
1042,Perseian-Great Defense Pact,15.0,1042,1042
1043,"27d9c8dc46,2c89a9e0dc",15.0,1043,1043
1044,"2c89a9e0dc,c45231c414",15.0,1044,1044
1045,Bulgan-Bulgian Defense Pact,15.0,1045,1045
1046,"c5f014b287,8d88177d24",15.0,1046,1046
1047,The Vesperan-Valite Scientific Alliance,15.0,1047,1047
1048,"0187c7d64a,189d8d8d1b",15.0,1048,1048
1049,The Vesperan-Great Scientific Alliance,15.0,1049,1049
1050,"0187c7d64a,d427d38a9f",15.0,1050,1050
1051,"f1337406a3,ecbe2dc98a",15.0,1051,1051
1052,The Orionex-Great Scientific Alliance,15.0,1052,1052
1053,"8c80ad65b6,65154f1c30",15.0,1053,1053
1054,"24e153416d,38ade68c1e",15.0,1054,1054
1055,Great-Solite Defense Pact,15.0,1055,1055
1056,"eacab5ee97,ebda9e7b67",15.0,1056,1056
1057,Solite-Unified Defense Pact,15.0,1057,1057
1058,"ebda9e7b67,de8a7cab3b",15.0,1058,1058
1059,"5573af18db,e13216033f",15.0,1059,1059
1060,"5573af18db,bee1d78260",15.0,1060,1060
1061,"2a8b6fc81d,2320636026",15.0,1061,1061
1062,"2a8b6fc81d,e976b29c9d",15.0,1062,1062
1063,"dc0074adc3,303a3df484",15.0,1063,1063
1064,"dc0074adc3,02b9381952",15.0,1064,1064
1065,Unified-Aurelian Defense Pact,15.0,1065,1065
1066,"303a3df484,02b9381952",15.0,1066,1066
1067,"08caaac3af,0ad458611c",15.0,1067,1067
1068,"08caaac3af,c2fe0ab024",15.0,1068,1068
1069,Vesperian-Great Defense Pact,15.0,1069,1069
1070,"91474e8269,32d2bbd884",15.0,1070,1070
1071,"f343101fe6,1cf19da3a9",15.0,1071,1071
1072,The Unified-Kaelumis Scientific Alliance,15.0,1072,1072
1073,"f343101fe6,fc241018ec",15.0,1073,1073
1074,The Unified-Merian Scientific Alliance,15.0,1074,1074
1075,"f343101fe6,2c6958242d",15.0,1075,1075
1076,Consolidated-Merian Defense Pact,15.0,1076,1076
1077,"1cf19da3a9,2c6958242d",15.0,1077,1077
1078,Kaelumis-Merian Defense Pact,15.0,1078,1078
1079,"fc241018ec,2c6958242d",15.0,1079,1079
1080,"950050e41a,7ec564c9db",15.0,1080,1080
1081,"950050e41a,f9c2058d1a",15.0,1081,1081
1082,Scientific-Zylarian Defense Pact,15.0,1082,1082
1083,"7ec564c9db,f9c2058d1a",15.0,1083,1083
1084,"2e4e7545f5,f9c2058d1a",15.0,1084,1084
1085,"bbf8578e8c,8478dfd6f7",15.0,1085,1085
1086,"bbf8578e8c,6f1e390274",15.0,1086,1086
1087,"8478dfd6f7,6f1e390274",15.0,1087,1087
1088,Kaelumis-Unified Defense Pact,15.0,1088,1088
1089,"6f1e390274,b12b67a0db",15.0,1089,1089
1090,"28728de334,5d6505f12a",15.0,1090,1090
1091,"2c64149009,ed45fe3a8d",15.0,1091,1091
1092,The Unified-Aurelan Scientific Alliance,15.0,1092,1092
1093,"2c64149009,b1f20b8a8c",15.0,1093,1093
1094,The Great-Aurelan Scientific Alliance,15.0,1094,1094
1095,"ed45fe3a8d,b1f20b8a8c",15.0,1095,1095
1096,"3a375c2f6d,0fa7096d5a",15.0,1096,1096
1097,The Scientific-Consolidated Scientific Alliance,15.0,1097,1097
1098,"1a67be5b7f,862f6cbc45",15.0,1098,1098
1099,"9883f23173,22c13af7a1",15.0,1099,1099
1100,"9883f23173,ac70f57b73",15.0,1100,1100
1101,"22c13af7a1,ac70f57b73",15.0,1101,1101
1102,"60a971a839,e941b86692",15.0,1102,1102
1103,The Great-Cygnian Scientific Alliance,15.0,1103,1103
1104,"60a971a839,8dcb447d0f",15.0,1104,1104
1105,Scientific-Unified Defense Pact,15.0,1105,1105
1106,"0130446f7e,d1ebd8161b",15.0,1106,1106
1107,"0130446f7e,d056d7ce4a",15.0,1107,1107
1108,The Unified-Scientific Scientific Alliance,15.0,1108,1108
1109,"d1ebd8161b,d056d7ce4a",15.0,1109,1109
1110,Scientific-Solari Defense Pact,15.0,1110,1110
1111,"d056d7ce4a,74136dc7b0",15.0,1111,1111
1112,Great-Vesperis Defense Pact,15.0,1112,1112
1113,"61dc46303f,8fbf42f886",15.0,1113,1113
1114,"61dc46303f,b6ae409cbf",15.0,1114,1114
1115,Vesperis-Unified Defense Pact,15.0,1115,1115
1116,"8fbf42f886,7388512271",15.0,1116,1116
1117,The Vesperis-Great Scientific Alliance,15.0,1117,1117
1118,"8fbf42f886,b6ae409cbf",15.0,1118,1118
1119,"7388512271,b6ae409cbf",15.0,1119,1119
1120,Orionan-Thranis Defense Pact,15.0,1120,1120
1121,"996190e522,f7bd18e491",15.0,1121,1121
1122,Meroid-Great Defense Pact,15.0,1122,1122
1123,"556d6c2378,a38e0777cd",15.0,1123,1123
1124,"f3f5dfde4c,e12feef736",15.0,1124,1124
1125,"f3f5dfde4c,fba15f0324",15.0,1125,1125
1126,"f3f5dfde4c,350e107aae",15.0,1126,1126
1127,"e12feef736,fba15f0324",15.0,1127,1127
1128,"e12feef736,350e107aae",15.0,1128,1128
1129,"fba15f0324,350e107aae",15.0,1129,1129
1130,The Consolidated-Thranari Scientific Alliance,15.0,1130,1130
1131,"2211d3100d,459f704847",15.0,1131,1131
1132,Thranari-Great Defense Pact,15.0,1132,1132
1133,"459f704847,575810e85b",15.0,1133,1133
1134,The Unified-Aurelis Scientific Alliance,15.0,1134,1134
1135,"2705d84a32,92810d80b3",15.0,1135,1135
1136,The Scientific-Allied Scientific Alliance,15.0,1136,1136
1137,"7e5521abbb,b9ec32251d",15.0,1137,1137
1138,Kaelumis-Great Defense Pact,15.0,1138,1138
1139,"7c376afd56,0cb785b3d6",15.0,1139,1139
1140,Consolidated-Allied Defense Pact,15.0,1140,1140
1141,"37a4cea3d7,467216187a",15.0,1141,1141
1142,"57733c8324,467216187a",15.0,1142,1142
1143,"b2c9872c2d,792f609a6f",15.0,1143,1143
1144,"b2c9872c2d,b9c3618013",15.0,1144,1144
1145,"b2c9872c2d,3aa8ce54ee",15.0,1145,1145
1146,"792f609a6f,b9c3618013",15.0,1146,1146
1147,"792f609a6f,3aa8ce54ee",15.0,1147,1147
1148,"764f599826,83c39baf65",15.0,1148,1148
1149,"31aeef2350,83775e646f",15.0,1149,1149
1150,"31aeef2350,2ed96a351c",15.0,1150,1150
1151,"c1cc584fd5,75447b1ce9",15.0,1151,1151
1152,"11452e96e6,75447b1ce9",15.0,1152,1152
1153,"80ce70725d,75447b1ce9",15.0,1153,1153
1154,Allied-Vesperan Defense Pact,15.0,1154,1154
1155,"13b6f1c19c,ee9099d9b7",15.0,1155,1155
1156,"38d523ac80,8a78a0e229",15.0,1156,1156
1157,"5fec320399,822326926a",15.0,1157,1157
1158,The Great-Scientific Scientific Alliance,15.0,1158,1158
1159,"18daa88e4f,b6d872712f",15.0,1159,1159
1160,Great-Aurelian Defense Pact,15.0,1160,1160
1161,"f03d90fb8f,123f4d1fb7",15.0,1161,1161
1162,"3c04f1e4d3,123f4d1fb7",15.0,1162,1162
1163,"3c04f1e4d3,15474381ae",15.0,1163,1163
1164,"e905d91038,f7ed0ea8ba",15.0,1164,1164
1165,"37270686ec,b9be6a525a",15.0,1165,1165
1166,"f0cb6b0a91,26a6b7dcc3",15.0,1166,1166
1167,"3b106fa102,cb6235e194",15.0,1167,1167
1168,"5a236efd3f,37270686ec",15.0,1168,1168
1169,"fadaa4a404,de8a7cab3b",15.0,1169,1169
1170,"bbf8578e8c,b12b67a0db",15.0,1170,1170
1171,Meroid-Consolidated Defense Pact,15.0,1171,1171
1172,"556d6c2378,ff559623e3",15.0,1172,1172
1173,"22091a7056,03d3903c7c",15.0,1173,1173
1174,"11452e96e6,80ce70725d",15.0,1174,1174
1175,The Consolidated-Allied Scientific Alliance,15.0,1175,1175
1176,"e4a60e62b6,df2217070a",15.0,1176,1176
1177,"d0016e25b4,724362e429",15.0,1177,1177
1178,The Consolidated-Kaelumis Scientific Alliance,15.0,1178,1178
1179,"1cf19da3a9,fc241018ec",15.0,1179,1179
1180,The Meris Federation,15.0,1180,1180
1181,Unified Aethelgardis Council,15.0,1181,1181
1182,Scientific Valan Union,15.0,1182,1182
1183,Consolidated Persean Worlds,15.0,1183,1183
1184,Unified Aurelari Council,15.0,1184,1184
1185,Scientific Xenan Union,15.0,1185,1185
1186,faf8d4b64a,15.0,1186,1186
1187,fe5ce1f2b8,15.0,1187,1187
1188,c1803ec34d,15.0,1188,1188
1189,a7f6005fd2,15.0,1189,1189
1190,Xenan Directorate,15.0,1190,1190
1191,Republic of Galactician,15.0,1191,1191
1192,Galactician Commonwealth,15.0,1192,1192
1193,Kaelumari Directorate,15.0,1193,1193
1194,Unified Zeloid Council,13.0,1194,1194
1195,Scientific Kaelumis Union,13.0,1195,1195
1196,Scientific Thranari Union,13.0,1196,1196
1197,The Perseian Federation,13.0,1197,1197
1198,Scientific Aureliis Union,13.0,1198,1198
1199,The Aureloid Federation,13.0,1199,1199
1200,Consolidated Zelari Worlds,13.0,1200,1200
1201,Consolidated Iota-perseis Worlds,13.0,1201,1201
1202,Allied Bulgan Systems,13.0,1202,1202
1203,Bulgan Commonwealth,13.0,1203,1203
1204,Consolidated Galactican Worlds,13.0,1204,1204
1205,Unified Vesperis Council,13.0,1205,1205
1206,Scientific Kaelumian Union,13.0,1206,1206
1207,Sagittarian Directorate,13.0,1207,1207
1208,Vesperari Directorate,13.0,1208,1208
1209,Unified Meris Council,13.0,1209,1209
1210,Bulgite Directorate,13.0,1210,1210
