civilization_id,civilization_name,megastructure_type,construction_progress,energy_output_watts,status
60a971a839,Cygnan Directorate,Stellar Engine,10.0,0.0,In Progress
e941b86692,Cygnite Commonwealth,Stellar Engine,10.0,0.0,In Progress
8dcb447d0f,Cygnian Directorate,Stellar Engine,85.661,0.0,In Progress
0130446f7e,Scientific Kaelumis Union,Stellar Engine,48.024,0.0,In Progress
d1ebd8161b,Unified Meran Council,Stellar Engine,47.016999999999996,0.0,In Progress
d056d7ce4a,Scientific Thranex Union,Stellar Engine,29.1525,0.0,In Progress
74136dc7b0,The Solari Federation,Orbital Ring,60.0715,0.0,In Progress
61dc46303f,Consolidated Zelis Worlds,Dyson Sphere,10.0,0.0,In Progress
8fbf42f886,Vesperis Commonwealth,Dyson Swarm,27.6483,0.0,In Progress
7388512271,Unified Orionari Council,Dyson Swarm,10.0,0.0,In Progress
b6ae409cbf,Unified Vesperite Council,Dyson Sphere,10.0,0.0,In Progress
622de7102b,Orionite Commonwealth,Dyson Swarm,47.0827,0.0,In Progress
996190e522,Orionan Directorate,Stellar Engine,28.5145,0.0,In Progress
f7bd18e491,Thranis Commonwealth,Dyson Sphere,64.40950000000001,0.0,In Progress
556d6c2378,Meroid Directorate,Stellar Engine,10.0,0.0,In Progress
ff559623e3,Consolidated Merian Worlds,Stellar Engine,10.0,0.0,In Progress
a38e0777cd,Zelex Directorate,Dyson Swarm,63.50385000000001,0.0,In Progress
4c2540c708,Unified Orionoid Council,Stellar Engine,73.3105,0.0,In Progress
b7069c3852,Unified Orionex Council,Matrioshka Brain,47.572900000000004,0.0,In Progress
81714ff4c3,Consolidated Xenari Worlds,Dyson Sphere,10.0,0.0,In Progress
f3f5dfde4c,Scientific Zelis Union,Stellar Engine,29.886,0.0,In Progress
e12feef736,Scientific Kaeluman Union,Matrioshka Brain,90.39,0.0,In Progress
fba15f0324,Unified Vesperoid Council,Stellar Engine,30.929000000000002,0.0,In Progress
350e107aae,Allied Aurelan Systems,Stellar Engine,29.017500000000002,0.0,In Progress
22091a7056,Scientific Zylaris Union,Stellar Engine,30.081,0.0,In Progress
03d3903c7c,Unified Orionex Council,Stellar Engine,28.9815,0.0,In Progress
2211d3100d,Kaelumex Directorate,Ringworld,28.659000000000002,0.0,In Progress
459f704847,Thranari Directorate,Stellar Engine,46.591,0.0,In Progress
575810e85b,Scientific Orionex Union,Stellar Engine,86.12,0.0,In Progress
182edcdd37,Aurelan Commonwealth,Dyson Swarm,10.0,0.0,In Progress
e47a782635,The Xi-sagittariis Federation,Dyson Swarm,45.39305,0.0,In Progress
2705d84a32,Unified Vesperari Council,Ringworld,47.707,0.0,In Progress
92810d80b3,The Aurelis Federation,Dyson Swarm,62.09049999999999,0.0,In Progress
7e5521abbb,Scientific Kaelumis Union,Ringworld,86.814,0.0,In Progress
b9ec32251d,Allied Zylarian Systems,Ringworld,49.5435,0.0,In Progress
7c376afd56,The Kaelumis Federation,Dyson Sphere,100.0,1e+26,Complete
0cb785b3d6,Kaelumite Commonwealth,Dyson Swarm,61.455,0.0,In Progress
7bf42c3a49,Sagittariite Directorate,Dyson Swarm,83.5648,0.0,In Progress
c3b1779520,Aurelis Commonwealth,Orbital Ring,60.4126,0.0,In Progress
37a4cea3d7,Consolidated Solite Worlds,Dyson Sphere,47.7505,0.0,In Progress
57733c8324,Scientific Merite Union,Stellar Engine,71.37549999999999,0.0,In Progress
467216187a,Allied Thranex Systems,Stellar Engine,47.556,0.0,In Progress
e00bc2a5e5,Thranite Directorate,Dyson Swarm,27.7085,0.0,In Progress
b2c9872c2d,Unified Sagittariite Council,Stellar Engine,70.92,0.0,In Progress
792f609a6f,Unified Sagittariite Council,Stellar Engine,29.775000000000002,0.0,In Progress
b9c3618013,Unified Sagittariite Council,Dyson Swarm,10.0,0.0,In Progress
3aa8ce54ee,Allied Sagittariian Systems,Ringworld,64.0285,0.0,In Progress
4b4e90bd89,The Meran Federation,Stellar Engine,86.71799999999999,0.0,In Progress
764f599826,Unified Solite Council,Stellar Engine,10.0,0.0,In Progress
83c39baf65,Zylarite Directorate,Stellar Engine,10.0,0.0,In Progress
927dbfac0b,Scientific Kaelumis Union,Stellar Engine,29.006999999999998,0.0,In Progress
f0f8b2423b,Xenex Directorate,Stellar Engine,29.0705,0.0,In Progress
31aeef2350,Scientific Solian Union,Matrioshka Brain,29.678,0.0,In Progress
83775e646f,Consolidated Thranite Worlds,Dyson Swarm,10.0,0.0,In Progress
2ed96a351c,Unified Valite Council,Stellar Engine,47.918,0.0,In Progress
c1cc584fd5,Unified Merite Council,Matrioshka Brain,10.0,0.0,In Progress
11452e96e6,Scientific Zelex Union,Stellar Engine,100.0,1e+30,Complete
80ce70725d,Scientific Kaelumian Union,Dyson Sphere,28.436,0.0,In Progress
75447b1ce9,Zylarian Commonwealth,Ringworld,10.0,0.0,In Progress
f61290c372,Scientific Orionari Union,Stellar Engine,48.465,0.0,In Progress
71efb681fc,The Aureloid Federation,Dyson Swarm,100.0,1e+27,Complete
13b6f1c19c,Allied Orionite Systems,Matrioshka Brain,83.00550000000001,0.0,In Progress
ee9099d9b7,Vesperan Directorate,Stellar Engine,67.3135,0.0,In Progress
4bf29f7756,Scientific Zylaroid Union,Stellar Engine,31.0735,0.0,In Progress
8a78a0e229,Unified Vesperoid Council,Matrioshka Brain,28.6955,0.0,In Progress
822326926a,Unified Meroid Council,Stellar Engine,66.3109,0.0,In Progress
0a6e8b3547,The Nu-cygnis Federation,Dyson Sphere,10.0,0.0,In Progress
8bc980ecf5,Unified Meris Council,Stellar Engine,51.284,0.0,In Progress
18daa88e4f,Scientific Rho-perseis Union,Matrioshka Brain,29.5975,0.0,In Progress
b6d872712f,Scientific Persean Union,Stellar Engine,50.84,0.0,In Progress
7c40c9ebf8,Scientific Vesperian Union,Stellar Engine,70.3695,0.0,In Progress
28f3b831a2,Scientific Aureloid Union,Stellar Engine,10.0,0.0,In Progress
20af608f42,Consolidated Orionite Worlds,Dyson Sphere,10.0,0.0,In Progress
3c04f1e4d3,Scientific Xenite Union,Dyson Swarm,27.6145,0.0,In Progress
123f4d1fb7,Aurelian Directorate,Stellar Engine,29.509500000000003,0.0,In Progress
15474381ae,Scientific Kaelumari Union,Matrioshka Brain,48.3775,0.0,In Progress
e905d91038,Allied Zelari Systems,Dyson Sphere,10.0,0.0,In Progress
176da50470,Unified Mu-perseis Council,Stellar Engine,48.4805,0.0,In Progress
f83f785370,Consolidated Valian Worlds,Dyson Swarm,46.751000000000005,0.0,In Progress
85aec51e58,Consolidated Thranoid Worlds,Dyson Sphere,66.2051,0.0,In Progress
4c224c8349,Vesperari Directorate,Dyson Swarm,100.0,1e+16,Complete
37270686ec,Scientific Bulgite Union,Stellar Engine,72.02950000000001,0.0,In Progress
b9be6a525a,The Bulgite Federation,Dyson Sphere,10.0,0.0,In Progress
